event_definition;coding_system;code;code_name;concept;concept_name;tags;system;event_abbreviation;type
Maternal outcome: depression;ICD10CM;F30-F39;Mood [affective] disorders (F30-F39);C0525045;Mood Disorders;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F30;Manic episode;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F30.1;Manic episode without psychotic symptoms;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F30.10;Manic episode without psychotic symptoms, unspecified;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F30.11;Manic episode without psychotic symptoms, mild;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F30.12;Manic episode without psychotic symptoms, moderate;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F30.13;Manic episode, severe, without psychotic symptoms;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F30.2;Manic episode, severe with psychotic symptoms;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F30.3;Manic episode in partial remission;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F30.4;Manic episode in full remission;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F30.8;Other manic episodes;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F30.9;Manic episode, unspecified;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31;Bipolar disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.0;Bipolar disorder, current episode hypomanic;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.1;Bipolar disorder, current episode manic without psychotic features;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.10;Bipolar disorder, current episode manic without psychotic features, unspecified;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.11;Bipolar disorder, current episode manic without psychotic features, mild;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.12;Bipolar disorder, current episode manic without psychotic features, moderate;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.13;Bipolar disorder, current episode manic without psychotic features, severe;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.2;Bipolar disorder, current episode manic severe with psychotic features;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.3;Bipolar disorder, current episode depressed, mild or moderate severity;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.30;Bipolar disorder, current episode depressed, mild or moderate severity, unspecified;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.31;Bipolar disorder, current episode depressed, mild;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.32;Bipolar disorder, current episode depressed, moderate;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.4;Bipolar disorder, current episode depressed, severe, without psychotic features;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.5;Bipolar disorder, current episode depressed, severe, with psychotic features;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.6;Bipolar disorder, current episode mixed;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.60;Bipolar disorder, current episode mixed, unspecified;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.61;Bipolar disorder, current episode mixed, mild;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.62;Bipolar disorder, current episode mixed, moderate;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.63;Bipolar disorder, current episode mixed, severe, without psychotic features;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.64;Bipolar disorder, current episode mixed, severe, with psychotic features;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.7;Bipolar disorder, currently in remission;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.70;Bipolar disorder, currently in remission, most recent episode unspecified;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.71;Bipolar disorder, in partial remission, most recent episode hypomanic;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.72;Bipolar disorder, in full remission, most recent episode hypomanic;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.73;Bipolar disorder, in partial remission, most recent episode manic;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.74;Bipolar disorder, in full remission, most recent episode manic;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.75;Bipolar disorder, in partial remission, most recent episode depressed;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.76;Bipolar disorder, in full remission, most recent episode depressed;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.77;Bipolar disorder, in partial remission, most recent episode mixed;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.78;Bipolar disorder, in full remission, most recent episode mixed;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.8;Other bipolar disorders;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.81;Bipolar II disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.89;Other bipolar disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F31.9;Bipolar disorder, unspecified;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F32;Depressive episode;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F32.0;Major depressive disorder, single episode, mild;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F32.1;Major depressive disorder, single episode, moderate;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F32.2;Major depressive disorder, single episode, severe without psychotic features;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F32.3;Major depressive disorder, single episode, severe with psychotic features;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F32.4;Major depressive disorder, single episode, in partial remission;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F32.5;Major depressive disorder, single episode, in full remission;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F32.8;Other depressive episodes;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F32.81;Premenstrual dysphoric disorder;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F32.89;Other specified depressive episodes;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F32.A;Depression, unspecified;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F33;Major depressive disorder, recurrent;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F33.0;Major depressive disorder, recurrent, mild;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F33.1;Major depressive disorder, recurrent, moderate;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F33.2;Major depressive disorder, recurrent severe without psychotic features;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F33.3;Major depressive disorder, recurrent, severe with psychotic symptoms;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F33.4;Major depressive disorder, recurrent, in remission;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F33.40;Major depressive disorder, recurrent, in remission, unspecified;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F33.41;Major depressive disorder, recurrent, in partial remission;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F33.42;Major depressive disorder, recurrent, in full remission;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F33.8;Other recurrent depressive disorders;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F33.9;Major depressive disorder, recurrent, unspecified;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F34;Persistent mood [affective] disorders;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F34.0;Cyclothymic disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F34.8;Other persistent mood [affective] disorders;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F34.81;Disruptive mood dysregulation disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F34.89;Other specified persistent mood disorders;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F34.9;Persistent mood [affective] disorder, unspecified;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F39;Unspecified mood [affective] disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F41.8;Mixed anxiety and depressive disorder;C0338908;Mixed anxiety and depressive disorder;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F53;Postpartum depression;C0221074;Depression, Postpartum;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F53.0;Postpartum depression;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F53.1;Puerperal psychosis;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,3;Major depressive disorder, recurrent episode;C0154409;Recurrent major depressive episodes;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,3;Major depressive affective disorder, recurrent episode, unspecified;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,31;Major depressive affective disorder, recurrent episode, mild;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,32;Major depressive affective disorder, recurrent episode, moderate;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,33;Major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,34;Major depressive affective disorder, recurrent episode, severe, specified as with psychotic behavior;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,35;Major depressive affective disorder, recurrent episode, in partial or unspecified remission;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,36;Major depressive affective disorder, recurrent episode, in full remission;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,2;Major depressive disorder, single episode;C0024517;Single major depressive episode;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,2;Major depressive affective disorder, single episode, unspecified;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,21;Major depressive affective disorder, single episode, mild;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,22;Major depressive affective disorder, single episode, moderate;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,23;Major depressive affective disorder, single episode, severe, without mention of psychotic behavior;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,24;Major depressive affective disorder, single episode, severe, specified as with psychotic behavior;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,25;Major depressive affective disorder, single episode, in partial or unspecified remission;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,26;Major depressive affective disorder, single episode, in full remission;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;300,4;Dysthymic disorder;C0013415;Dysthymic Disorder;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,82;Atypical depressive disorder;C0154437;Atypical depressive disorder;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;301,12;Chronic depressive personality disorder;C3665457;Chronic depressive personality disorder;Possible;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296;Episodic mood disorders;C1456434;Episodic mood disorder;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296;Bipolar I disorder, single manic episode;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296;Bipolar I disorder, single manic episode, unspecified;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,01;Bipolar I disorder, single manic episode, mild;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,02;Bipolar I disorder, single manic episode, moderate;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,03;Bipolar I disorder, single manic episode, severe, without mention of psychotic behavior;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,04;Bipolar I disorder, single manic episode, severe, specified as with psychotic behavior;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,05;Bipolar I disorder, single manic episode, in partial or unspecified remission;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,06;Bipolar I disorder, single manic episode, in full remission;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,1;Manic disorder, recurrent episode;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,1;Manic affective disorder, recurrent episode, unspecified;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,11;Manic affective disorder, recurrent episode, mild;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,12;Manic affective disorder, recurrent episode, moderate;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,13;Manic affective disorder, recurrent episode, severe, without mention of psychotic behavior;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,14;Manic affective disorder, recurrent episode, severe, specified as with psychotic behavior;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,15;Manic affective disorder, recurrent episode, in partial or unspecified remission;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,16;Manic affective disorder, recurrent episode, in full remission;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,4;Bipolar I disorder, most recent episode (or current) manic;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,4;Bipolar I disorder, most recent episode (or current) manic, unspecified;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,41;Bipolar I disorder, most recent episode (or current) manic, mild;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,42;Bipolar I disorder, most recent episode (or current) manic, moderate;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,43;Bipolar I disorder, most recent episode (or current) manic, severe, without mention of psychotic behavior;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,44;Bipolar I disorder, most recent episode (or current) manic, severe, specified as with psychotic behavior;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,45;Bipolar I disorder, most recent episode (or current) manic, in partial or unspecified remission;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,46;Bipolar I disorder, most recent episode (or current) manic, in full remission;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,5;Bipolar I disorder, most recent episode (or current) depressed;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,5;Bipolar I disorder, most recent episode (or current) depressed, unspecified;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,51;Bipolar I disorder, most recent episode (or current) depressed, mild;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,52;Bipolar I disorder, most recent episode (or current) depressed, moderate;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,53;Bipolar I disorder, most recent episode (or current) depressed, severe, without mention of psychotic behavior;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,54;Bipolar I disorder, most recent episode (or current) depressed, severe, specified as with psychotic behavior;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,55;Bipolar I disorder, most recent episode (or current) depressed, in partial or unspecified remission;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,56;Bipolar I disorder, most recent episode (or current) depressed, in full remission;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,6;Bipolar I disorder, most recent episode (or current) mixed;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,6;Bipolar I disorder, most recent episode (or current) mixed, unspecified;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,61;Bipolar I disorder, most recent episode (or current) mixed, mild;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,62;Bipolar I disorder, most recent episode (or current) mixed, moderate;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,63;Bipolar I disorder, most recent episode (or current) mixed, severe, without mention of psychotic behavior;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,64;Bipolar I disorder, most recent episode (or current) mixed, severe, specified as with psychotic behavior;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,65;Bipolar I disorder, most recent episode (or current) mixed, in partial or unspecified remission;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,66;Bipolar I disorder, most recent episode (or current) mixed, in full remission;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,7;Bipolar I disorder, most recent episode (or current) unspecified;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,8;Other and unspecified bipolar disorders;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,8;Bipolar disorder, unspecified;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,81;Atypical manic disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,89;Other bipolar disorders;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,9;Other and unspecified episodic mood disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,9;Unspecified episodic mood disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;296,99;Other specified episodic mood disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD9CM;311;Depressive disorder, not elsewhere classified;C0868892;Depressive disorder, NEC in ICD9CM_2013_2012_08_06;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICPC;P76;Depressive disorder;C0011581;Depressive disorder;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;E2B1.;Chronic depression;C0581391;Chronic depression;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;E2B0.;Postviral depression;C0581390;Postviral depression;Exclude;R;DEPRESSION;
Maternal outcome: depression;RCD2;Eu32.;[X]Depressive episode;C0011581;Depressive disorder;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;E11..;Affective psychoses;C0525045;Mood Disorders;Exclude;R;DEPRESSION;
Maternal outcome: depression;RCD2;Eu3..;[X]Mood - affective disorders;C0525045;Mood Disorders;Exclude;R;DEPRESSION;
Maternal outcome: depression;RCD2;Eu3z.;[X]Unspec mood affective dis;C0525045;Mood Disorders;Exclude;R;DEPRESSION;
Maternal outcome: depression;RCD2;E113.;Recurrent major depressive epi;C0154409;Recurrent major depressive episodes;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;E1130;Recurr.major depression-unspec;C0154409;Recurrent major depressive episodes;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;E113z;Recurr. major depression NOS;C0154409;Recurrent major depressive episodes;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;E112.;Single major depressive episod;C0024517;Single major depressive episode;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;E1120;Single major depression-unspec;C0024517;Single major depressive episode;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;E112z;Single major depression NOS;C0024517;Single major depressive episode;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;Eu32z;[X]Depressive episode, unspecf;C0011570;Mental Depression;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;Eu34.;[X]Persist mood affectve dis;C0349224;Persistent mood affective disorder, unspecified;Exclude;R;DEPRESSION;
Maternal outcome: depression;RCD2;Eu34z;[X]Persis mood affect dis uns;C0349224;Persistent mood affective disorder, unspecified;Exclude;R;DEPRESSION;
Maternal outcome: depression;RCD2;E2003;Anxiety with depression;C0338908;Mixed anxiety and depressive disorder;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;E2112;Depressive personality disord;C0013415;Dysthymic Disorder;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;Eu341;[X]Dysthymia;C0013415;Dysthymic Disorder;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;Eu332;[X]Recurr dep now sever no psy;C0154412;Severe recurrent major depression without psychotic features;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;Eu331;[X]Recurr depress current mod;C0154411;Moderate recurrent major depression;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;E1121;Single major depression-mild;C0154403;Mild major depression, single episode;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;E1122;Single major depress.-moderate;C0154404;Moderate major depression, single episode;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;62T1.;Puerperal depression;C0221074;Depression, Postpartum;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;Eu333;[X]Recurr dep now sever+psych;C0154413;Severe recurrent major depression with psychotic features;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;Eu33.;[X]Recurrent depressive disord;C0349218;Recurrent depressive disorder;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;Eu33z;[X]Recurrent depress dis unsp;C0349218;Recurrent depressive disorder;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;E1135;Recurr.maj.depres.-part remiss;C0338893;Recurrent major depressive episodes, in partial or unspecified remission;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;E11y2;Atypical depressive disorder;C0154437;Atypical depressive disorder;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;E1131;Recurr.major depression-mild;C3665435;Recurrent major depressive episodes, mild;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;E204.;Neurotic (reactive) depression;C0011579;Reactive depression;Narrow;R;DEPRESSION;
Maternal outcome: depression;RCD2;Eu32y;[X]Other depressive episodes;C0349216;Other depressive episodes;Narrow;R;DEPRESSION;
