event_definition;coding_system;code;code_name;concept;concept_name;tags;system;event_abbreviation;type;RB Comments
Child outcome: learning difficulties or disorders of intellectual development;RCD2;Eu70z;[X]Mild retard no mention beh;C0349301;Mild mental retardation without mention of impairment of behavior;Narrow;R;ID;OUT;
Child outcome: learning difficulties or disorders of intellectual development;RCD2;Eu70y;[X]Mild retard oth behav imp;C0349300;Mild mental retardation, other impairments of behavior;Narrow;R;ID;OUT;
Child outcome: learning difficulties or disorders of intellectual development;RCD2;Eu701;[X]Mild retard signif beh imp;C0349299;Mild mental retardation, significant impairment of behavior requiring attention or treatment;Narrow;R;ID;OUT;
Child outcome: learning difficulties or disorders of intellectual development;RCD2;Eu700;[X]Mild retard no/min beh imp;C0349298;Mild mental retardation with the statement of no, or minimal, impairment of behavior;Narrow;R;ID;OUT;
Child outcome: learning difficulties or disorders of intellectual development;RCD2;Eu71y;[X]Mod retard oth behav imp;;Moderate mental retardation, other impairments of behavior;Narrow;R;ID;OUT;
Child outcome: learning difficulties or disorders of intellectual development;RCD2;Eu814;[X]Moderate learning disability;;;Narrow;R;ID;OUT;
Child outcome: learning difficulties or disorders of intellectual development;RCD2;Eu815;[X]Severe learning disability;;;Narrow;R;ID;OUT;
Child outcome: learning difficulties or disorders of intellectual development;RCD2;Eu816;[X]Mild learning disability;;;Narrow;R;ID;OUT;
Child outcome: learning difficulties or disorders of intellectual development;RCD2;Eu817;[X]Profound learning disability;;;Narrow;R;ID;OUT;
Child outcome: learning difficulties or disorders of intellectual development;RCD2;Eu818 ;[X]Specific learning disability;;;Narrow;R;ID;OUT;
Child outcome: learning difficulties or disorders of intellectual development;RCD2;Eu81z;[X]Learning disability NOS;;;Narrow;R;ID;OUT;
